defensive_team,posteam,receiver,air_yards,pass_location,reception
CHI,GB,A.Jones,-1,1,1
GB,CHI,A.Robinson,2,1,0
GB,CHI,T.Cohen,15,1,0
CHI,GB,J.Graham,3,3,0
GB,CHI,T.Cohen,0,3,1
CHI,GB,D.Adams,5,2,0
CHI,GB,D.Adams,5,3,1
CHI,GB,D.Adams,4,1,0
GB,CHI,A.Robinson,3,2,1
GB,CHI,A.Shaheen,5,2,1
GB,CHI,T.Gabriel,8,2,0
GB,CHI,C.Patterson,17,1,0
CHI,GB,M.Valdes-Scantling,47,2,1
CHI,GB,M.Lewis,1,1,1
CHI,GB,D.Adams,3,3,1
CHI,GB,J.Graham,8,3,1
GB,CHI,A.Robinson,25,1,1
GB,CHI,A.Robinson,3,2,0
GB,CHI,T.Cohen,6,2,1
CHI,GB,M.Valdes-Scantling,8,3,1
CHI,GB,M.Valdes-Scantling,0,3,1
CHI,GB,D.Adams,3,1,1
CHI,GB,J.Williams,-3,1,1
GB,CHI,A.Robinson,6,1,1
GB,CHI,M.Davis,-4,2,1
GB,CHI,T.Cohen,6,3,1
GB,CHI,A.Robinson,13,2,0
CHI,GB,D.Adams,34,3,0
CHI,GB,J.Williams,-3,1,1
CHI,GB,J.Graham,6,3,1
CHI,GB,D.Adams,3,3,0
CHI,GB,M.Valdes-Scantling,28,1,0
GB,CHI,C.Patterson,-2,1,1
GB,CHI,M.Davis,-4,3,1
CHI,GB,J.Graham,7,2,1
CHI,GB,NA,51,3,0
GB,CHI,J.Wims,15,2,0
GB,CHI,M.Davis,1,3,1
CHI,GB,NA,-3,1,0
CHI,GB,M.Lewis,5,2,1
CHI,GB,M.Valdes-Scantling,-5,1,1
GB,CHI,A.Robinson,21,1,1
GB,CHI,D.Montgomery,20,1,1
GB,CHI,T.Cohen,-2,1,1
GB,CHI,A.Robinson,23,3,0
GB,CHI,C.Patterson,15,3,0
CHI,GB,D.Adams,6,3,1
CHI,GB,NA,-1,3,0
CHI,GB,J.Graham,42,1,0
GB,CHI,NA,12,1,0
GB,CHI,A.Robinson,4,2,1
GB,CHI,T.Gabriel,15,3,1
GB,CHI,T.Cohen,4,3,0
GB,CHI,A.Robinson,17,2,0
GB,CHI,T.Gabriel,-2,3,1
CHI,GB,T.Davis,18,3,1
CHI,GB,R.Tonyan,19,2,1
CHI,GB,M.Lewis,15,1,0
GB,CHI,T.Cohen,4,2,1
GB,CHI,A.Robinson,4,2,1
GB,CHI,M.Davis,0,3,1
GB,CHI,T.Cohen,-2,1,1
GB,CHI,T.Gabriel,6,3,0
GB,CHI,T.Gabriel,24,3,0
GB,CHI,A.Robinson,16,2,1
GB,CHI,M.Davis,-3,3,1
GB,CHI,T.Cohen,6,2,1
GB,CHI,T.Cohen,5,2,1
GB,CHI,M.Davis,11,3,0
GB,CHI,A.Shaheen,6,3,0
GB,CHI,NA,16,1,0
CHI,GB,M.Valdes-Scantling,3,3,0
GB,CHI,M.Davis,2,3,1
GB,CHI,A.Miller,29,1,0
GB,CHI,J.Wims,12,2,0
LA,CAR,C.McCaffrey,0,1,1
LA,CAR,D.Moore,12,3,1
LA,CAR,D.Moore,0,3,1
CAR,LA,C.Kupp,4,1,1
CAR,LA,T.Gurley,4,1,1
CAR,LA,C.Kupp,2,1,1
CAR,LA,T.Higbee,18,3,0
CAR,LA,C.Kupp,-4,3,1
CAR,LA,B.Cooks,41,1,0
CAR,LA,C.Kupp,4,2,1
LA,CAR,G.Olsen,-5,1,1
LA,CAR,C.Samuel,0,1,1
CAR,LA,R.Woods,2,1,0
CAR,LA,C.Kupp,8,3,0
LA,CAR,D.Moore,18,3,0
LA,CAR,C.McCaffrey,10,1,1
LA,CAR,G.Olsen,8,1,1
LA,CAR,G.Olsen,2,3,0
CAR,LA,J.Reynolds,-3,1,0
CAR,LA,R.Woods,13,3,1
CAR,LA,R.Woods,17,1,0
LA,CAR,C.McCaffrey,2,3,1
CAR,LA,R.Woods,-2,3,1
CAR,LA,R.Woods,2,1,1
CAR,LA,R.Woods,2,3,1
CAR,LA,B.Cooks,3,2,0
LA,CAR,C.McCaffrey,0,3,1
LA,CAR,G.Olsen,12,3,0
CAR,LA,G.Everett,0,3,1
CAR,LA,C.Kupp,7,2,0
CAR,LA,C.Kupp,4,2,1
CAR,LA,C.Kupp,11,3,0
LA,CAR,D.Moore,5,1,1
LA,CAR,D.Moore,10,1,1
LA,CAR,G.Olsen,4,2,1
LA,CAR,D.Moore,13,1,1
CAR,LA,B.Cooks,15,2,1
CAR,LA,B.Cooks,12,2,1
CAR,LA,NA,0,3,0
CAR,LA,R.Woods,0,1,1
CAR,LA,B.Cooks,9,3,0
LA,CAR,I.Thomas,-2,3,0
LA,CAR,C.Samuel,0,1,1
LA,CAR,J.Wright,10,3,1
LA,CAR,D.Moore,7,1,1
CAR,LA,T.Higbee,3,3,1
CAR,LA,R.Woods,3,1,1
CAR,LA,J.Reynolds,5,2,0
CAR,LA,C.Kupp,6,3,1
CAR,LA,R.Woods,15,1,0
CAR,LA,C.Kupp,8,3,1
CAR,LA,T.Higbee,0,1,1
LA,CAR,D.Moore,10,3,0
LA,CAR,C.McCaffrey,10,1,1
LA,CAR,C.McCaffrey,-4,1,1
LA,CAR,C.Samuel,-5,3,1
LA,CAR,G.Olsen,12,3,0
LA,CAR,G.Olsen,9,2,0
CAR,LA,T.Higbee,-3,3,1
CAR,LA,B.Cooks,0,3,0
CAR,LA,NA,20,2,0
LA,CAR,C.McCaffrey,4,2,1
LA,CAR,C.Samuel,30,3,0
CAR,LA,R.Woods,11,1,1
CAR,LA,T.Higbee,5,1,1
LA,CAR,D.Moore,2,2,1
LA,CAR,C.McCaffrey,2,3,1
LA,CAR,NA,7,2,0
CAR,LA,R.Woods,18,3,0
CAR,LA,R.Woods,-3,3,1
LA,CAR,C.McCaffrey,-2,1,0
LA,CAR,D.Moore,14,3,0
LA,CAR,G.Olsen,13,3,1
LA,CAR,C.McCaffrey,1,3,1
LA,CAR,C.Hogan,3,3,0
LA,CAR,C.McCaffrey,4,2,1
PHI,WAS,J.Sprinkle,1,1,1
PHI,WAS,D.Guice,2,2,1
PHI,WAS,P.Richardson,5,1,1
PHI,WAS,V.Davis,3,3,1
WAS,PHI,Z.Ertz,0,3,0
WAS,PHI,D.Jackson,10,3,1
WAS,PHI,N.Agholor,31,1,0
PHI,WAS,K.Harmon,16,3,1
PHI,WAS,P.Richardson,17,2,1
PHI,WAS,V.Davis,5,2,0
PHI,WAS,T.McLaurin,12,1,1
PHI,WAS,T.Quinn,4,3,1
PHI,WAS,P.Richardson,19,3,0
PHI,WAS,V.Davis,-5,3,1
WAS,PHI,D.Sproles,-4,2,1
WAS,PHI,Z.Ertz,5,1,1
WAS,PHI,D.Jackson,6,3,1
WAS,PHI,J.Howard,1,3,1
WAS,PHI,D.Jackson,-3,3,1
WAS,PHI,D.Sproles,-1,3,1
WAS,PHI,A.Jeffery,0,1,0
PHI,WAS,T.McLaurin,45,2,1
WAS,PHI,M.Sanders,1,1,1
WAS,PHI,N.Agholor,5,3,1
PHI,WAS,D.Guice,0,1,1
PHI,WAS,C.Thompson,3,3,0
WAS,PHI,A.Jeffery,11,1,1
WAS,PHI,N.Agholor,16,3,0
WAS,PHI,D.Goedert,31,1,0
WAS,PHI,D.Jackson,51,2,1
PHI,WAS,V.Davis,15,1,0
WAS,PHI,A.Jeffery,17,2,0
WAS,PHI,D.Jackson,-1,3,1
PHI,WAS,P.Richardson,6,3,1
PHI,WAS,T.Quinn,4,1,0
PHI,WAS,P.Richardson,4,1,1
PHI,WAS,P.Richardson,16,3,0
PHI,WAS,V.Davis,4,3,1
PHI,WAS,T.McLaurin,22,3,1
PHI,WAS,C.Thompson,6,1,1
WAS,PHI,A.Jeffery,6,3,1
WAS,PHI,A.Jeffery,4,1,1
WAS,PHI,A.Jeffery,5,3,1
PHI,WAS,C.Thompson,0,3,1
WAS,PHI,J.Howard,-4,1,0
WAS,PHI,Z.Ertz,8,1,0
WAS,PHI,D.Jackson,48,3,1
PHI,WAS,T.McLaurin,43,2,0
PHI,WAS,P.Richardson,8,1,0
PHI,WAS,V.Davis,8,2,0
WAS,PHI,Z.Ertz,4,3,1
WAS,PHI,D.Jackson,19,3,1
WAS,PHI,N.Agholor,-4,1,1
WAS,PHI,D.Jackson,9,3,1
WAS,PHI,Z.Ertz,9,3,1
PHI,WAS,D.Guice,-3,1,1
PHI,WAS,C.Thompson,6,3,1
PHI,WAS,V.Davis,3,1,1
WAS,PHI,N.Agholor,28,3,0
WAS,PHI,Z.Ertz,15,1,1
WAS,PHI,D.Goedert,6,1,1
WAS,PHI,M.Sanders,-6,1,0
WAS,PHI,Z.Ertz,0,1,1
WAS,PHI,D.Jackson,3,3,0
WAS,PHI,A.Jeffery,13,1,1
WAS,PHI,D.Goedert,0,1,1
WAS,PHI,J.Howard,2,3,1
WAS,PHI,D.Sproles,2,3,1
PHI,WAS,T.McLaurin,6,2,1
PHI,WAS,C.Thompson,4,1,1
PHI,WAS,T.Quinn,7,3,1
PHI,WAS,T.McLaurin,9,3,0
PHI,WAS,T.McLaurin,6,2,1
PHI,WAS,T.Quinn,6,2,1
PHI,WAS,C.Thompson,-7,3,0
PHI,WAS,C.Thompson,-2,1,0
PHI,WAS,C.Thompson,-2,3,1
PHI,WAS,C.Thompson,5,2,1
PHI,WAS,K.Harmon,10,1,1
PHI,WAS,C.Thompson,5,2,1
PHI,WAS,T.Quinn,9,3,0
PHI,WAS,T.Quinn,4,3,1
NYJ,BUF,C.Beasley,6,1,1
NYJ,BUF,J.Brown,5,1,1
NYJ,BUF,J.Brown,8,2,1
NYJ,BUF,P.DiMarco,3,3,1
NYJ,BUF,C.Beasley,2,1,1
NYJ,BUF,NA,16,3,0
BUF,NYJ,J.Crowder,2,2,0
BUF,NYJ,L.Bell,-3,3,1
NYJ,BUF,NA,5,2,0
NYJ,BUF,P.DiMarco,5,1,1
NYJ,BUF,J.Brown,9,2,1
NYJ,BUF,C.Beasley,6,2,1
NYJ,BUF,Z.Jones,36,1,0
NYJ,BUF,C.Beasley,9,3,0
BUF,NYJ,L.Bell,-3,3,1
BUF,NYJ,J.Bellamy,11,3,1
NYJ,BUF,D.Knox,1,3,1
NYJ,BUF,D.Singletary,0,1,0
BUF,NYJ,Q.Enunwa,12,1,0
BUF,NYJ,J.Crowder,2,2,1
BUF,NYJ,R.Griffin,1,1,1
BUF,NYJ,Ro.Anderson,9,1,1
BUF,NYJ,J.Crowder,4,1,1
BUF,NYJ,Ro.Anderson,36,3,0
NYJ,BUF,C.Beasley,3,2,1
NYJ,BUF,C.Beasley,2,3,1
NYJ,BUF,T.Sweeney,24,3,1
NYJ,BUF,C.Beasley,4,1,0
BUF,NYJ,L.Bell,3,1,0
NYJ,BUF,D.Singletary,-5,1,1
NYJ,BUF,Z.Jones,-2,3,1
NYJ,BUF,J.Brown,14,1,1
NYJ,BUF,J.Brown,2,3,0
NYJ,BUF,NA,4,3,0
BUF,NYJ,J.Crowder,4,1,1
BUF,NYJ,J.Crowder,2,2,1
BUF,NYJ,L.Bell,-3,1,0
BUF,NYJ,L.Bell,2,1,0
BUF,NYJ,J.Crowder,2,1,1
BUF,NYJ,R.Griffin,0,1,1
BUF,NYJ,J.Crowder,3,1,1
BUF,NYJ,Ro.Anderson,12,1,0
BUF,NYJ,Ro.Anderson,11,3,0
BUF,NYJ,Q.Enunwa,0,3,1
BUF,NYJ,J.Crowder,4,1,1
BUF,NYJ,L.Bell,5,3,1
BUF,NYJ,J.Crowder,1,1,1
BUF,NYJ,L.Bell,7,1,1
NYJ,BUF,D.Knox,5,1,0
NYJ,BUF,J.Brown,9,1,1
NYJ,BUF,J.Brown,25,2,0
NYJ,BUF,J.Brown,23,3,0
BUF,NYJ,L.Bell,-5,3,1
BUF,NYJ,L.Bell,2,1,1
BUF,NYJ,Ro.Anderson,6,1,1
NYJ,BUF,J.Brown,13,3,1
NYJ,BUF,T.Sweeney,0,1,1
NYJ,BUF,D.Singletary,0,1,1
BUF,NYJ,J.Crowder,2,3,1
BUF,NYJ,J.Crowder,3,1,1
BUF,NYJ,R.Griffin,-3,2,1
BUF,NYJ,J.Crowder,-2,3,1
NYJ,BUF,D.Singletary,-4,3,1
NYJ,BUF,NA,22,3,0
NYJ,BUF,C.Beasley,22,3,0
NYJ,BUF,Z.Jones,19,3,1
NYJ,BUF,D.Singletary,0,3,1
NYJ,BUF,D.Singletary,8,3,1
NYJ,BUF,J.Brown,25,1,1
BUF,NYJ,J.Crowder,3,1,1
BUF,NYJ,J.Crowder,0,3,1
BUF,NYJ,Ro.Anderson,35,1,0
BUF,NYJ,J.Crowder,0,3,0
BUF,NYJ,R.Griffin,2,2,0
BUF,NYJ,Q.Enunwa,23,3,0
BUF,NYJ,J.Crowder,17,3,0
BUF,NYJ,J.Crowder,4,1,1
BUF,NYJ,Ro.Anderson,12,1,1
ATL,MIN,D.Cook,1,1,1
ATL,MIN,A.Thielen,11,1,1
MIN,ATL,NA,13,2,0
ATL,MIN,D.Cook,1,1,1
MIN,ATL,J.Hardy,0,2,1
MIN,ATL,NA,15,1,0
MIN,ATL,J.Hardy,5,1,1
MIN,ATL,J.Jones,5,1,1
MIN,ATL,J.Hardy,7,1,1
MIN,ATL,J.Jones,2,1,1
MIN,ATL,J.Jones,37,3,0
MIN,ATL,R.Gage,21,1,0
ATL,MIN,S.Diggs,5,3,1
MIN,ATL,M.Sanu,10,2,1
MIN,ATL,C.Ridley,18,1,1
ATL,MIN,C.Beebe,0,3,1
ATL,MIN,K.Rudolph,4,1,0
MIN,ATL,J.Jones,5,3,1
MIN,ATL,I.Smith,1,3,1
MIN,ATL,J.Jones,3,2,0
MIN,ATL,A.Hooper,3,1,1
MIN,ATL,M.Sanu,10,1,0
MIN,ATL,R.Gage,13,2,1
MIN,ATL,M.Sanu,7,2,1
ATL,MIN,A.Thielen,12,1,1
MIN,ATL,A.Hooper,-1,2,1
MIN,ATL,A.Hooper,5,3,1
MIN,ATL,A.Hooper,3,1,1
MIN,ATL,M.Sanu,3,1,1
MIN,ATL,C.Ridley,8,3,1
MIN,ATL,M.Sanu,4,1,1
MIN,ATL,NA,3,3,0
ATL,MIN,A.Thielen,2,1,1
ATL,MIN,S.Diggs,24,3,1
MIN,ATL,C.Ridley,4,2,0
MIN,ATL,D.Freeman,6,3,0
MIN,ATL,J.Jones,10,1,0
MIN,ATL,A.Hooper,12,3,1
MIN,ATL,A.Hooper,13,2,1
MIN,ATL,A.Hooper,3,3,1
MIN,ATL,D.Freeman,0,3,1
MIN,ATL,D.Freeman,5,2,1
MIN,ATL,J.Hardy,5,3,0
MIN,ATL,C.Ridley,20,1,1
MIN,ATL,D.Freeman,0,3,1
MIN,ATL,J.Hardy,11,1,1
MIN,ATL,A.Hooper,4,2,1
MIN,ATL,C.Ridley,23,3,0
MIN,ATL,J.Jones,24,1,0
MIN,ATL,A.Hooper,3,3,1
MIN,ATL,J.Jones,1,1,1
MIN,ATL,M.Sanu,3,2,1
MIN,ATL,J.Jones,5,1,1
MIN,ATL,C.Ridley,6,2,1
MIN,ATL,J.Jones,2,1,1
MIA,BAL,H.Hurst,4,3,1
MIA,BAL,N.Boyle,-3,3,1
BAL,MIA,P.Williams,13,3,0
BAL,MIA,A.Wilson,8,3,1
BAL,MIA,NA,24,3,0
MIA,BAL,M.Brown,10,2,1
BAL,MIA,A.Wilson,-3,3,0
BAL,MIA,K.Ballage,-5,1,1
BAL,MIA,A.Wilson,-3,1,1
MIA,BAL,M.Brown,40,2,1
BAL,MIA,M.Gesicki,13,1,1
BAL,MIA,K.Drake,3,1,1
BAL,MIA,M.Gesicki,2,3,0
BAL,MIA,A.Wilson,-2,1,0
MIA,BAL,M.Andrews,8,3,1
MIA,BAL,M.Brown,4,3,1
MIA,BAL,W.Snead,33,2,1
BAL,MIA,D.Parker,49,2,1
BAL,MIA,J.Grant,-3,3,1
BAL,MIA,P.Williams,36,3,0
MIA,BAL,M.Brown,2,1,1
MIA,BAL,M.Boykin,0,2,1
BAL,MIA,D.Parker,26,1,0
BAL,MIA,J.Grant,8,2,0
MIA,BAL,M.Brown,38,3,0
MIA,BAL,M.Andrews,5,3,1
BAL,MIA,D.Parker,14,1,1
BAL,MIA,A.Hurns,26,3,0
BAL,MIA,A.Hurns,22,1,1
BAL,MIA,D.Parker,24,1,0
BAL,MIA,P.Williams,7,1,1
BAL,MIA,P.Williams,11,1,1
BAL,MIA,P.Williams,6,2,1
BAL,MIA,K.Drake,1,2,1
BAL,MIA,D.Parker,10,1,0
MIA,BAL,M.Andrews,7,2,1
MIA,BAL,M.Andrews,3,3,1
MIA,BAL,M.Andrews,3,2,1
MIA,BAL,M.Andrews,33,2,1
MIA,BAL,NA,1,3,0
MIA,BAL,P.Ricard,1,1,1
BAL,MIA,M.Gesicki,6,2,0
BAL,MIA,M.Gesicki,32,1,0
BAL,MIA,D.Parker,12,1,1
BAL,MIA,D.Parker,28,1,0
BAL,MIA,J.Grant,37,2,0
MIA,BAL,M.Andrews,13,1,1
MIA,BAL,H.Hurst,12,3,1
MIA,BAL,W.Snead,5,3,0
BAL,MIA,M.Gesicki,4,3,1
BAL,MIA,NA,12,3,0
MIA,BAL,N.Boyle,6,2,1
MIA,BAL,M.Andrews,2,1,1
BAL,MIA,M.Gesicki,1,1,0
MIA,BAL,S.Roberts,5,1,1
MIA,BAL,H.Hurst,9,3,1
MIA,BAL,N.Boyle,9,2,1
MIA,BAL,W.Snead,7,2,1
JAX,KC,T.Hill,7,3,1
JAX,KC,S.Watkins,7,2,1
KC,JAX,D.Chark,-1,3,1
KC,JAX,C.Conley,24,3,0
JAX,KC,T.Kelce,23,3,1
JAX,KC,S.Watkins,17,2,1
JAX,KC,Dam.Williams,1,3,1
JAX,KC,T.Kelce,9,1,0
KC,JAX,NA,5,3,0
KC,JAX,G.Swaim,0,1,1
KC,JAX,C.Conley,17,2,1
KC,JAX,L.Fournette,-1,1,1
KC,JAX,L.Fournette,0,3,0
KC,JAX,D.Chark,35,3,1
JAX,KC,S.Watkins,5,3,1
JAX,KC,T.Hill,9,3,1
JAX,KC,S.Watkins,22,3,1
KC,JAX,C.Conley,8,1,1
KC,JAX,C.Conley,4,2,1
KC,JAX,D.Westbrook,-1,1,1
KC,JAX,C.Conley,7,1,1
JAX,KC,T.Kelce,19,1,1
JAX,KC,S.Watkins,5,1,1
JAX,KC,T.Kelce,9,1,0
JAX,KC,D.Robinson,0,1,1
KC,JAX,D.Chark,43,2,1
KC,JAX,D.Westbrook,-5,3,1
KC,JAX,NA,1,2,1
JAX,KC,Dam.Williams,-6,1,1
JAX,KC,T.Kelce,5,1,1
JAX,KC,S.Watkins,-5,3,1
JAX,KC,Dam.Williams,-6,1,1
JAX,KC,D.Thompson,0,1,1
JAX,KC,S.Watkins,22,3,0
